Printout for SDDS file out/kick/kicker.chs

       s        ElementName  ElementType      betax          betay          alphax         alphay          etax          etaxp           etay          etayp           psix           psiy           psi            enx            eny         pCentral0   
       m                                        m              m                                            m                             m                            rad            rad          radians           m              m           m$be$nc    
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2.400000e+01          LM1     CSRDRIFT   1.405883e+01   3.108647e+01   6.842344e-01  -1.498796e+00   1.861267e-15  -4.032399e-17   0.000000e+00   0.000000e+00   1.174168e+00   1.182027e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  2.410000e+01          QLD         QUAD   1.399051e+01   3.123659e+01  -1.009071e-07   1.056891e-07   1.861723e-15   4.943697e-17   0.000000e+00   0.000000e+00   1.181304e+00   1.185233e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  2.420000e+01          QLD         QUAD   1.405883e+01   3.108647e+01  -6.842346e-01   1.498796e+00   1.871162e-15   1.394365e-16   0.000000e+00   0.000000e+00   1.188440e+00   1.188440e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  2.470000e+01          LM0     CSRDRIFT   1.476917e+01   2.961378e+01  -7.364501e-01   1.446581e+00   1.940881e-15   1.394365e-16   0.000000e+00   0.000000e+00   1.223146e+00   1.204920e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  2.520000e+01          LM0     CSRDRIFT   1.553173e+01   2.819331e+01  -7.886656e-01   1.394365e+00   2.010599e-15   1.394365e-16   0.000000e+00   0.000000e+00   1.256165e+00   1.222225e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  2.570000e+01          LM0     CSRDRIFT   1.634650e+01   2.682505e+01  -8.408811e-01   1.342150e+00   2.080317e-15   1.394365e-16   0.000000e+00   0.000000e+00   1.287550e+00   1.240407e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  2.620000e+01          LM0     CSRDRIFT   1.721349e+01   2.550901e+01  -8.930966e-01   1.289934e+00   2.150035e-15   1.394365e-16   0.000000e+00   0.000000e+00   1.317361e+00   1.259522e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  2.670000e+01          LM0     CSRDRIFT   1.813269e+01   2.424518e+01  -9.453121e-01   1.237719e+00   2.219754e-15   1.394365e-16   0.000000e+00   0.000000e+00   1.345666e+00   1.279629e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  2.720000e+01          LM0     CSRDRIFT   1.910411e+01   2.303357e+01  -9.975276e-01   1.185503e+00   2.289472e-15   1.394365e-16   0.000000e+00   0.000000e+00   1.372534e+00   1.300789e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  2.770000e+01          LM0     CSRDRIFT   2.012775e+01   2.187417e+01  -1.049743e+00   1.133288e+00   2.359190e-15   1.394365e-16   0.000000e+00   0.000000e+00   1.398035e+00   1.323066e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  2.820000e+01          LM0     CSRDRIFT   2.120360e+01   2.076699e+01  -1.101959e+00   1.081072e+00   2.428909e-15   1.394365e-16   0.000000e+00   0.000000e+00   1.422240e+00   1.346527e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  2.870000e+01          LM0     CSRDRIFT   2.233167e+01   1.971203e+01  -1.154174e+00   1.028857e+00   2.498627e-15   1.394365e-16   0.000000e+00   0.000000e+00   1.445220e+00   1.371243e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  2.920000e+01          LM0     CSRDRIFT   2.351195e+01   1.870928e+01  -1.206390e+00   9.766414e-01   2.568345e-15   1.394365e-16   0.000000e+00   0.000000e+00   1.467042e+00   1.397282e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  2.970000e+01          LM0     CSRDRIFT   2.474444e+01   1.775875e+01  -1.258605e+00   9.244259e-01   2.638063e-15   1.394365e-16   0.000000e+00   0.000000e+00   1.487773e+00   1.424716e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  3.020000e+01          LM0     CSRDRIFT   2.602916e+01   1.686043e+01  -1.310820e+00   8.722104e-01   2.707782e-15   1.394365e-16   0.000000e+00   0.000000e+00   1.507476e+00   1.453615e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  3.070000e+01          LM0     CSRDRIFT   2.736609e+01   1.601433e+01  -1.363036e+00   8.199949e-01   2.777500e-15   1.394365e-16   0.000000e+00   0.000000e+00   1.526211e+00   1.484048e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  3.120000e+01          LM0     CSRDRIFT   2.875523e+01   1.522044e+01  -1.415251e+00   7.677794e-01   2.847218e-15   1.394365e-16   0.000000e+00   0.000000e+00   1.544036e+00   1.516080e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  3.170000e+01          LM0     CSRDRIFT   3.019659e+01   1.447877e+01  -1.467467e+00   7.155639e-01   2.916936e-15   1.394365e-16   0.000000e+00   0.000000e+00   1.561005e+00   1.549768e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  3.180000e+01          LM1     CSRDRIFT   3.049113e+01   1.433670e+01  -1.477910e+00   7.051208e-01   2.930880e-15   1.394365e-16   0.000000e+00   0.000000e+00   1.564300e+00   1.556708e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  3.190000e+01          LM1     CSRDRIFT   3.078775e+01   1.419672e+01  -1.488353e+00   6.946777e-01   2.944824e-15   1.394365e-16   0.000000e+00   0.000000e+00   1.567564e+00   1.563718e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  3.200000e+01          LM1     CSRDRIFT   3.108647e+01   1.405883e+01  -1.498796e+00   6.842346e-01   2.958767e-15   1.394365e-16   0.000000e+00   0.000000e+00   1.570797e+00   1.570796e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  3.210000e+01          QLF         QUAD   3.123659e+01   1.399051e+01  -1.810211e-07   7.406798e-08   2.965566e-15  -3.513540e-18   0.000000e+00   0.000000e+00   1.574003e+00   1.577932e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  3.220000e+01          QLF         QUAD   3.108647e+01   1.405883e+01   1.498796e+00  -6.842345e-01   2.958065e-15  -1.464466e-16   0.000000e+00   0.000000e+00   1.577210e+00   1.585069e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  3.270000e+01          LM0     CSRDRIFT   2.961378e+01   1.476917e+01   1.446580e+00  -7.364500e-01   2.884842e-15  -1.464466e-16   0.000000e+00   0.000000e+00   1.593690e+00   1.619775e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  3.320000e+01          LM0     CSRDRIFT   2.819331e+01   1.553173e+01   1.394365e+00  -7.886655e-01   2.811618e-15  -1.464466e-16   0.000000e+00   0.000000e+00   1.610995e+00   1.652793e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  3.370000e+01          LM0     CSRDRIFT   2.682505e+01   1.634650e+01   1.342149e+00  -8.408809e-01   2.738395e-15  -1.464466e-16   0.000000e+00   0.000000e+00   1.629177e+00   1.684178e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  3.420000e+01          LM0     CSRDRIFT   2.550901e+01   1.721349e+01   1.289934e+00  -8.930964e-01   2.665172e-15  -1.464466e-16   0.000000e+00   0.000000e+00   1.648292e+00   1.713990e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  3.470000e+01          LM0     CSRDRIFT   2.424518e+01   1.813269e+01   1.237719e+00  -9.453119e-01   2.591948e-15  -1.464466e-16   0.000000e+00   0.000000e+00   1.668399e+00   1.742295e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  3.520000e+01          LM0     CSRDRIFT   2.303357e+01   1.910411e+01   1.185503e+00  -9.975274e-01   2.518725e-15  -1.464466e-16   0.000000e+00   0.000000e+00   1.689559e+00   1.769162e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  3.570000e+01          LM0     CSRDRIFT   2.187418e+01   2.012775e+01   1.133288e+00  -1.049743e+00   2.445502e-15  -1.464466e-16   0.000000e+00   0.000000e+00   1.711836e+00   1.794663e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  3.620000e+01          LM0     CSRDRIFT   2.076700e+01   2.120360e+01   1.081072e+00  -1.101958e+00   2.372279e-15  -1.464466e-16   0.000000e+00   0.000000e+00   1.735297e+00   1.818868e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  3.670000e+01          LM0     CSRDRIFT   1.971203e+01   2.233167e+01   1.028857e+00  -1.154174e+00   2.299055e-15  -1.464466e-16   0.000000e+00   0.000000e+00   1.760012e+00   1.841848e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  3.720000e+01          LM0     CSRDRIFT   1.870928e+01   2.351195e+01   9.766412e-01  -1.206389e+00   2.225832e-15  -1.464466e-16   0.000000e+00   0.000000e+00   1.786051e+00   1.863670e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  3.770000e+01          LM0     CSRDRIFT   1.775875e+01   2.474444e+01   9.244257e-01  -1.258605e+00   2.152609e-15  -1.464466e-16   0.000000e+00   0.000000e+00   1.813485e+00   1.884401e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  3.820000e+01          LM0     CSRDRIFT   1.686043e+01   2.602916e+01   8.722102e-01  -1.310820e+00   2.079385e-15  -1.464466e-16   0.000000e+00   0.000000e+00   1.842385e+00   1.904104e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  3.870000e+01          LM0     CSRDRIFT   1.601433e+01   2.736608e+01   8.199948e-01  -1.363036e+00   2.006162e-15  -1.464466e-16   0.000000e+00   0.000000e+00   1.872818e+00   1.922839e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
