Printout for SDDS file out/ltu3/run.twi

       s        ElementName  ElementType      betax          betay          alphax         alphay          etax          etaxp           etay          etayp           psix           psiy           enx            eny         pCentral0   
       m                                        m              m                                            m                             m                            rad            rad             m              m           m$be$nc    
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2.400000e+01          LM1     CSRDRIFT   1.405883e+01   3.108647e+01   6.842344e-01  -1.498796e+00   1.861267e-15  -4.032399e-17   0.000000e+00   0.000000e+00   1.174168e+00   1.182027e+00   3.086080e-07   2.513987e-07   1.631685e+04 
  2.410000e+01          QLD         QUAD   1.399051e+01   3.123659e+01  -1.009071e-07   1.056891e-07   1.861723e-15   4.943697e-17   0.000000e+00   0.000000e+00   1.181304e+00   1.185233e+00   3.086081e-07   2.513979e-07   1.631685e+04 
  2.420000e+01          QLD         QUAD   1.405883e+01   3.108647e+01  -6.842346e-01   1.498796e+00   1.871162e-15   1.394365e-16   0.000000e+00   0.000000e+00   1.188440e+00   1.188440e+00   3.086081e-07   2.513972e-07   1.631685e+04 
  2.470000e+01          LM0     CSRDRIFT   1.476917e+01   2.961378e+01  -7.364501e-01   1.446581e+00   1.940881e-15   1.394365e-16   0.000000e+00   0.000000e+00   1.223146e+00   1.204920e+00   3.086081e-07   2.513972e-07   1.631685e+04 
  2.520000e+01          LM0     CSRDRIFT   1.553173e+01   2.819331e+01  -7.886656e-01   1.394365e+00   2.010599e-15   1.394365e-16   0.000000e+00   0.000000e+00   1.256165e+00   1.222225e+00   3.086081e-07   2.513972e-07   1.631685e+04 
  2.570000e+01          LM0     CSRDRIFT   1.634650e+01   2.682505e+01  -8.408811e-01   1.342150e+00   2.080317e-15   1.394365e-16   0.000000e+00   0.000000e+00   1.287550e+00   1.240407e+00   3.086081e-07   2.513972e-07   1.631685e+04 
  2.620000e+01          LM0     CSRDRIFT   1.721349e+01   2.550901e+01  -8.930966e-01   1.289934e+00   2.150035e-15   1.394365e-16   0.000000e+00   0.000000e+00   1.317361e+00   1.259522e+00   3.086081e-07   2.513972e-07   1.631685e+04 
  2.670000e+01          LM0     CSRDRIFT   1.813269e+01   2.424518e+01  -9.453121e-01   1.237719e+00   2.219754e-15   1.394365e-16   0.000000e+00   0.000000e+00   1.345666e+00   1.279629e+00   3.086081e-07   2.513972e-07   1.631685e+04 
  2.720000e+01          LM0     CSRDRIFT   1.910411e+01   2.303357e+01  -9.975276e-01   1.185503e+00   2.289472e-15   1.394365e-16   0.000000e+00   0.000000e+00   1.372534e+00   1.300789e+00   3.086081e-07   2.513972e-07   1.631685e+04 
  2.770000e+01          LM0     CSRDRIFT   2.012775e+01   2.187417e+01  -1.049743e+00   1.133288e+00   2.359190e-15   1.394365e-16   0.000000e+00   0.000000e+00   1.398035e+00   1.323066e+00   3.086081e-07   2.513972e-07   1.631685e+04 
