Printout for SDDS file out/ltu1/run.chs

       s        ElementName  ElementType      betax          betay          alphax         alphay          etax          etaxp           etay          etayp           psix           psiy           psi            enx            eny         pCentral0   
       m                                        m              m                                            m                             m                            rad            rad          radians           m              m           m$be$nc    
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  8.700000e+00          LM0     CSRDRIFT   1.476917e+01   2.961376e+01  -7.364499e-01   1.446582e+00   9.269327e-16   1.693072e-16  -2.224852e-03  -8.298667e-05   4.377477e-01   4.195218e-01   7.654043e-24   3.086076e-07   2.515013e-07   1.631685e+04 
  9.200000e+00          LM0     CSRDRIFT   1.553173e+01   2.819329e+01  -7.886653e-01   1.394366e+00   1.011586e-15   1.693072e-16  -2.266345e-03  -8.298667e-05   4.707665e-01   4.368268e-01   7.654043e-24   3.086076e-07   2.515013e-07   1.631685e+04 
  9.300000e+00          LM1     CSRDRIFT   1.569050e+01   2.791546e+01  -7.991084e-01   1.383923e+00   1.028517e-15   1.693072e-16  -2.274644e-03  -8.298667e-05   4.771723e-01   4.403913e-01   7.654043e-24   3.086076e-07   2.515013e-07   1.631685e+04 
  9.400000e+00          LM1     CSRDRIFT   1.585137e+01   2.763972e+01  -8.095515e-01   1.373480e+00   1.045448e-15   1.693072e-16  -2.282943e-03  -8.298667e-05   4.835132e-01   4.439914e-01   7.654043e-24   3.086076e-07   2.515013e-07   1.631685e+04 
  9.500000e+00          LM1     CSRDRIFT   1.601433e+01   2.736607e+01  -8.199946e-01   1.363037e+00   1.062378e-15   1.693072e-16  -2.291241e-03  -8.298667e-05   4.897897e-01   4.476274e-01   7.654043e-24   3.086076e-07   2.515013e-07   1.631685e+04 
  9.600000e+00          LM1     CSRDRIFT   1.617937e+01   2.709450e+01  -8.304377e-01   1.352594e+00   1.079309e-15   1.693072e-16  -2.299540e-03  -8.298667e-05   4.960022e-01   4.512999e-01   7.654043e-24   3.086076e-07   2.515013e-07   1.631685e+04 
  9.700000e+00          LM1     CSRDRIFT   1.634650e+01   2.682503e+01  -8.408808e-01   1.342150e+00   1.096240e-15   1.693072e-16  -2.307839e-03  -8.298667e-05   5.021513e-01   4.550092e-01   7.654043e-24   3.086076e-07   2.515013e-07   1.631685e+04 
  9.950000e+00           BK    CSRCSBEND   1.677347e+01   2.616048e+01  -8.669885e-01   1.316043e+00   1.138567e-15   1.693072e-16  -2.334836e-03  -1.329866e-04   5.172498e-01   4.644466e-01   9.261393e-24   3.086076e-07   2.515497e-07   1.631685e+04 
  1.020000e+01           BK    CSRCSBEND   1.721349e+01   2.550899e+01  -8.930963e-01   1.289935e+00   1.180893e-15   1.693072e-16  -2.374332e-03  -1.829866e-04   5.319630e-01   4.741244e-01   1.102182e-23   3.086076e-07   2.516080e-07   1.631685e+04 
  1.030000e+01          LM1     CSRDRIFT   1.739315e+01   2.525204e+01  -9.035394e-01   1.279492e+00   1.197824e-15   1.693072e-16  -2.392631e-03  -1.829866e-04   5.377424e-01   4.780645e-01   1.102182e-23   3.086076e-07   2.516080e-07   1.631685e+04 
  1.040000e+01          LM1     CSRDRIFT   1.757490e+01   2.499719e+01  -9.139825e-01   1.269049e+00   1.214755e-15   1.693072e-16  -2.410930e-03  -1.829866e-04   5.434620e-01   4.820447e-01   1.102182e-23   3.086076e-07   2.516080e-07   1.631685e+04 
  1.050000e+01          LM1     CSRDRIFT   1.775875e+01   2.474442e+01  -9.244256e-01   1.258606e+00   1.231686e-15   1.693072e-16  -2.429228e-03  -1.829866e-04   5.491224e-01   4.860656e-01   1.102182e-23   3.086076e-07   2.516080e-07   1.631685e+04 
  1.060000e+01          LM1     CSRDRIFT   1.794467e+01   2.449375e+01  -9.348687e-01   1.248163e+00   1.248616e-15   1.693072e-16  -2.447527e-03  -1.829866e-04   5.547243e-01   4.901275e-01   1.102182e-23   3.086076e-07   2.516080e-07   1.631685e+04 
  1.085000e+01           BK    CSRCSBEND   1.841864e+01   2.387619e+01  -9.609764e-01   1.222055e+00   1.290943e-15   1.693072e-16  -2.499524e-03  -2.329866e-04   5.684760e-01   5.004655e-01   1.293533e-23   3.086076e-07   2.516738e-07   1.631685e+04 
  1.110000e+01           BK    CSRCSBEND   1.890565e+01   2.327169e+01  -9.870841e-01   1.195948e+00   1.333270e-15   1.693072e-16  -2.564020e-03  -2.829866e-04   5.818736e-01   5.110715e-01   1.500193e-23   3.086076e-07   2.517482e-07   1.631685e+04 
  1.120000e+01          LM1     CSRDRIFT   1.910411e+01   2.303355e+01  -9.975272e-01   1.185505e+00   1.350201e-15   1.693072e-16  -2.592319e-03  -2.829866e-04   5.871355e-01   5.153908e-01   1.500193e-23   3.086076e-07   2.517482e-07   1.631685e+04 
  1.130000e+01          LM1     CSRDRIFT   1.930466e+01   2.279749e+01  -1.007970e+00   1.175062e+00   1.367131e-15   1.693072e-16  -2.620618e-03  -2.829866e-04   5.923428e-01   5.197547e-01   1.500193e-23   3.086076e-07   2.517482e-07   1.631685e+04 
  1.140000e+01          LM1     CSRDRIFT   1.950730e+01   2.256352e+01  -1.018413e+00   1.164618e+00   1.384062e-15   1.693072e-16  -2.648916e-03  -2.829866e-04   5.974959e-01   5.241638e-01   1.500193e-23   3.086076e-07   2.517482e-07   1.631685e+04 
  1.150000e+01          LM1     CSRDRIFT   1.971203e+01   2.233164e+01  -1.028857e+00   1.154175e+00   1.400993e-15   1.693072e-16  -2.677215e-03  -2.829866e-04   6.025955e-01   5.286187e-01   1.500193e-23   3.086076e-07   2.517482e-07   1.631685e+04 
  1.175000e+01           BK    CSRCSBEND   2.023298e+01   2.176108e+01  -1.054964e+00   1.128068e+00   1.443320e-15   1.693072e-16  -2.754212e-03  -3.329866e-04   6.151141e-01   5.399597e-01   1.722160e-23   3.086076e-07   2.518287e-07   1.631685e+04 
  1.200000e+01           BK    CSRCSBEND   2.076699e+01   2.120358e+01  -1.081072e+00   1.101960e+00   1.485646e-15   1.693072e-16  -2.843708e-03  -3.829865e-04   6.273106e-01   5.515984e-01   1.959435e-23   3.086076e-07   2.519167e-07   1.631685e+04 
  1.210000e+01          LM1     CSRDRIFT   2.098425e+01   2.098423e+01  -1.091515e+00   1.091517e+00   1.502577e-15   1.693072e-16  -2.882007e-03  -3.829865e-04   6.321010e-01   5.563392e-01   1.959435e-23   3.086076e-07   2.519167e-07   1.631685e+04 
  1.220000e+01          LM1     CSRDRIFT   2.120360e+01   2.076697e+01  -1.101958e+00   1.081074e+00   1.519508e-15   1.693072e-16  -2.920306e-03  -3.829865e-04   6.368417e-01   5.611295e-01   1.959435e-23   3.086076e-07   2.519167e-07   1.631685e+04 
  1.230000e+01          LM1     CSRDRIFT   2.142503e+01   2.055180e+01  -1.112401e+00   1.070631e+00   1.536439e-15   1.693072e-16  -2.958604e-03  -3.829865e-04   6.415335e-01   5.659700e-01   1.959435e-23   3.086076e-07   2.519167e-07   1.631685e+04 
  1.240000e+01          LM1     CSRDRIFT   2.164856e+01   2.033872e+01  -1.122844e+00   1.060188e+00   1.553369e-15   1.693072e-16  -2.996903e-03  -3.829865e-04   6.461768e-01   5.708612e-01   1.959435e-23   3.086076e-07   2.519167e-07   1.631685e+04 
  1.265000e+01           BK    CSRCSBEND   2.221651e+01   1.981515e+01  -1.148952e+00   1.034080e+00   1.595696e-15   1.693072e-16  -3.098900e-03  -4.329865e-04   6.575766e-01   5.833147e-01   2.212019e-23   3.086076e-07   2.520093e-07   1.631685e+04 
